loss,hyperparameters,iteration
0.9721364698291385,"{'bagging_fraction': 0.9779592462156699, 'feature_fraction': 0.9554224919526416, 'lambda_l1': 0.6608590243368708, 'lambda_l2': 0.010225940273415834, 'learning_rate': 0.9064795052313223, 'max_depth': 7.570262220469388, 'num_iterations': 498.7016341260824}",65
0.9720721133602958,"{'bagging_fraction': 0.9859958204531483, 'feature_fraction': 0.9124343035954763, 'lambda_l1': 0.05656684191905115, 'lambda_l2': 0.045678930515095306, 'learning_rate': 0.9699138199869582, 'max_depth': 7.921839446566716, 'num_iterations': 461.4653248724871}",66
0.8827160908663663,"{'bagging_fraction': 0.9571731498666335, 'feature_fraction': 0.14520263968783986, 'lambda_l1': 0.9302185756347793, 'lambda_l2': 0.9948318527674267, 'learning_rate': 0.11400336303079234, 'max_depth': 1.524732629167079, 'num_iterations': 450.4880313362462}",67
0.9559360627407603,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 1.0, 'max_depth': 8.0, 'num_iterations': 430.20739555186015}",68
0.9731711124029735,"{'bagging_fraction': 0.1, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 4.429469519154281, 'num_iterations': 472.4918546584935}",69
0.9714986879716443,"{'bagging_fraction': 0.8306462162792563, 'feature_fraction': 0.9669742701488345, 'lambda_l1': 0.317033107325589, 'lambda_l2': 0.04262504111801546, 'learning_rate': 0.6085468705659582, 'max_depth': 1.0867318970533837, 'num_iterations': 417.2726811401796}",70
0.9748350377708451,"{'bagging_fraction': 0.6058296296059555, 'feature_fraction': 0.9487535055389714, 'lambda_l1': 0.9277568381039386, 'lambda_l2': 0.01684056499903841, 'learning_rate': 0.14356722745879655, 'max_depth': 2.52020548170319, 'num_iterations': 466.20378318891767}",71
0.9735267876960412,"{'bagging_fraction': 0.7880304549224411, 'feature_fraction': 0.1343257157124197, 'lambda_l1': 0.11231600901587135, 'lambda_l2': 0.13659685421975543, 'learning_rate': 0.6868886455687656, 'max_depth': 2.671738962862667, 'num_iterations': 467.7627797315173}",72
0.9744674429385114,"{'bagging_fraction': 0.9546658473980867, 'feature_fraction': 0.9857761579262345, 'lambda_l1': 0.09725316718735189, 'lambda_l2': 0.8862828459987603, 'learning_rate': 0.14889687740113525, 'max_depth': 1.980765280386604, 'num_iterations': 405.76204626952153}",73
0.9728016740071626,"{'bagging_fraction': 0.11410605292276177, 'feature_fraction': 0.9284285290959505, 'lambda_l1': 0.7814511288446708, 'lambda_l2': 0.023812638401796815, 'learning_rate': 0.20226541383618524, 'max_depth': 7.769901399962057, 'num_iterations': 442.77481528709285}",74
0.9751924120412591,"{'bagging_fraction': 0.9579860113593096, 'feature_fraction': 0.34991400359776825, 'lambda_l1': 0.9801712830034537, 'lambda_l2': 0.9439401727266047, 'learning_rate': 0.10949114119274952, 'max_depth': 7.356174012201143, 'num_iterations': 493.7793492982247}",75
0.9679334843815827,"{'bagging_fraction': 0.19487371796136688, 'feature_fraction': 0.7629338790518182, 'lambda_l1': 0.9903164927441828, 'lambda_l2': 0.7974839451880749, 'learning_rate': 0.2171258253973241, 'max_depth': 1.2901643217095966, 'num_iterations': 352.0264216221507}",76
0.9744708934322782,"{'bagging_fraction': 0.25688931519690394, 'feature_fraction': 0.3097642319947702, 'lambda_l1': 0.8809858125842309, 'lambda_l2': 0.6537864533309335, 'learning_rate': 0.11459437441992136, 'max_depth': 7.7362978153136845, 'num_iterations': 327.7490751038664}",77
0.971260578967471,"{'bagging_fraction': 0.11398482893176552, 'feature_fraction': 0.9399107560264679, 'lambda_l1': 0.9696100012768168, 'lambda_l2': 0.975232744890577, 'learning_rate': 0.9672056139256622, 'max_depth': 1.3920197241070977, 'num_iterations': 490.0215043666367}",78
0.9746268787256703,"{'bagging_fraction': 0.9887108344268778, 'feature_fraction': 0.2635617278841641, 'lambda_l1': 0.9784709762885255, 'lambda_l2': 0.9620059474238357, 'learning_rate': 0.1280771810964662, 'max_depth': 4.026724604796672, 'num_iterations': 184.77140356110255}",79
0.973410669736864,"{'bagging_fraction': 0.10728434746546876, 'feature_fraction': 0.19423237280836161, 'lambda_l1': 0.12097190838267935, 'lambda_l2': 0.9656391787420513, 'learning_rate': 0.10244652495935513, 'max_depth': 3.002347119996715, 'num_iterations': 283.15570497410357}",80
0.9737691287643487,"{'bagging_fraction': 1.0, 'feature_fraction': 0.1, 'lambda_l1': 0.9382321824009446, 'lambda_l2': 1.0, 'learning_rate': 0.9999999982264417, 'max_depth': 7.999999997198437, 'num_iterations': 490.8834173808859}",81
0.9734998092094103,"{'bagging_fraction': 0.10000000749899936, 'feature_fraction': 1.0, 'lambda_l1': 0.0, 'lambda_l2': 0.0, 'learning_rate': 0.1, 'max_depth': 3.275764162237458, 'num_iterations': 465.8595847105361}",82
